Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/products,1837,0,28,30.11383231791794,18.344627000260516,110.78062199976557,122.95209580838323,6.541405943113707,0.0,28,30,31,32,37,44,62,74,100,110,110
GET,/products/100187,1,0,26.613760000145703,26.613760000145703,26.613760000145703,26.613760000145703,118.0,0.0035609177697951593,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/100325,2,0,31,32.93612650031719,30.519922000166844,35.35233100046753,128.0,0.007121835539590319,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/products/100816,1,0,29.895942999246472,29.895942999246472,29.895942999246472,29.895942999246472,124.0,0.0035609177697951593,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/100939,4,0,22,23.915052500115053,21.309310000106052,29.40794200003438,119.0,0.014243671079180637,0.0,23,23,29,29,29,29,29,29,29,29,29
GET,/products/101928,2,0,28.159466000033717,29.111544999977923,28.159466000033717,30.06362399992213,127.0,0.007121835539590319,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/103329,2,0,27,28.093649999846093,26.94107699971937,29.246222999972815,124.0,0.007121835539590319,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/103934,4,0,23,24.562403499885477,21.593462000055297,27.332282999850577,119.0,0.014243671079180637,0.0,26,26,27,27,27,27,27,27,27,27,27
GET,/products/104099,1,0,26.775538999572746,26.775538999572746,26.775538999572746,26.775538999572746,129.0,0.0035609177697951593,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/104450,1,0,31.232513000759354,31.232513000759354,31.232513000759354,31.232513000759354,124.0,0.0035609177697951593,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/104765,1,0,27.352566000445222,27.352566000445222,27.352566000445222,27.352566000445222,123.0,0.0035609177697951593,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/10523,2,0,20.09156999974948,25.093498999922303,20.09156999974948,30.095428000095126,128.0,0.007121835539590319,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/105903,2,0,25.775965999855543,25.691164499676233,25.606362999496923,25.775965999855543,123.0,0.007121835539590319,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/106417,1,0,29.338688000279944,29.338688000279944,29.338688000279944,29.338688000279944,124.0,0.0035609177697951593,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/10653,3,0,27,27.521145999647462,25.883923000037612,29.30703599940898,115.0,0.010682753309385477,0.0,27,27,29,29,29,29,29,29,29,29,29
GET,/products/10659,1,0,21.82256000014604,21.82256000014604,21.82256000014604,21.82256000014604,118.0,0.0035609177697951593,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/products/107393,1,0,31.421036000210734,31.421036000210734,31.421036000210734,31.421036000210734,126.0,0.0035609177697951593,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/107824,1,0,31.8731219995243,31.8731219995243,31.8731219995243,31.8731219995243,119.0,0.0035609177697951593,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/products/108582,1,0,28.372419000334048,28.372419000334048,28.372419000334048,28.372419000334048,118.0,0.0035609177697951593,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/110276,1,0,22.295908999694802,22.295908999694802,22.295908999694802,22.295908999694802,127.0,0.0035609177697951593,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/products/111537,3,0,28,27.5996370003971,26.153282000450417,28.562217999933637,126.0,0.010682753309385477,0.0,28,28,29,29,29,29,29,29,29,29,29
GET,/products/111995,1,0,24.597551000624662,24.597551000624662,24.597551000624662,24.597551000624662,127.0,0.0035609177697951593,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/11439,1,0,42.08837599981052,42.08837599981052,42.08837599981052,42.08837599981052,128.0,0.0035609177697951593,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/products/116012,1,0,24.91606200055685,24.91606200055685,24.91606200055685,24.91606200055685,118.0,0.0035609177697951593,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/116823,2,0,31.049831999553135,34.535866499936674,31.049831999553135,38.02190100032021,119.0,0.007121835539590319,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/products/117385,2,0,20.46909599994251,20.926570000028732,20.46909599994251,21.384044000114955,123.0,0.007121835539590319,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/products/118250,1,0,90.6382940002004,90.6382940002004,90.6382940002004,90.6382940002004,126.0,0.0035609177697951593,0.0,91,91,91,91,91,91,91,91,91,91,91
GET,/products/118271,2,0,28,28.66354500019952,27.600534000157495,29.726556000241544,127.0,0.007121835539590319,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/118870,1,0,28.922702000272693,28.922702000272693,28.922702000272693,28.922702000272693,124.0,0.0035609177697951593,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/121050,3,0,23,23.799980666505387,22.567610999431054,25.992087999838986,119.0,0.010682753309385477,0.0,23,23,26,26,26,26,26,26,26,26,26
GET,/products/121089,1,0,20.91682300033426,20.91682300033426,20.91682300033426,20.91682300033426,129.0,0.0035609177697951593,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/products/122178,1,0,22.04112100025668,22.04112100025668,22.04112100025668,22.04112100025668,126.0,0.0035609177697951593,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/products/12345,3917,0,27,29.415830563436323,17.01144500020746,146.62887299982685,126.0,13.948114904287639,0.0,27,29,30,31,36,43,63,73,140,150,150
GET,/products/125177,2,0,29.110264999872015,32.086616499782394,29.110264999872015,35.06296799969277,126.0,0.007121835539590319,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/products/125306,1,0,31.181745999674604,31.181745999674604,31.181745999674604,31.181745999674604,129.0,0.0035609177697951593,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/126335,1,0,23.47266899960232,23.47266899960232,23.47266899960232,23.47266899960232,129.0,0.0035609177697951593,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/127043,3,0,32,32.315180333171156,30.398013000194624,34.48834799928591,129.0,0.010682753309385477,0.0,32,32,34,34,34,34,34,34,34,34,34
GET,/products/127526,1,0,25.92753399949288,25.92753399949288,25.92753399949288,25.92753399949288,118.0,0.0035609177697951593,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/128346,1,0,27.661471999635978,27.661471999635978,27.661471999635978,27.661471999635978,124.0,0.0035609177697951593,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/130139,1,0,29.862137000236544,29.862137000236544,29.862137000236544,29.862137000236544,118.0,0.0035609177697951593,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/130713,1,0,22.757115000786143,22.757115000786143,22.757115000786143,22.757115000786143,119.0,0.0035609177697951593,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/131562,3,0,26,27.014812000137074,23.524778000137303,31.146692000220355,119.0,0.010682753309385477,0.0,26,26,31,31,31,31,31,31,31,31,31
GET,/products/133029,2,0,23,25.297831499756285,22.60036899951956,27.99529399999301,127.0,0.007121835539590319,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/134063,2,0,26,29.387881500042567,25.937749999684456,32.83801300040068,118.0,0.007121835539590319,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/products/137797,2,0,27,30.182617500031483,26.82928800004447,33.535947000018496,119.0,0.007121835539590319,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/products/138532,1,0,22.577476000151364,22.577476000151364,22.577476000151364,22.577476000151364,118.0,0.0035609177697951593,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/138891,2,0,24.079224000161048,27.438658000392024,24.079224000161048,30.798092000623,123.0,0.007121835539590319,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/139106,2,0,29,29.723417999775847,28.932088999681582,30.514746999870113,129.0,0.007121835539590319,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/140147,3,0,26,25.464188333292743,24.155821000022115,26.23282599961385,127.0,0.010682753309385477,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/140370,1,0,51.99177699978463,51.99177699978463,51.99177699978463,51.99177699978463,119.0,0.0035609177697951593,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/products/142531,1,0,22.65771800011862,22.65771800011862,22.65771800011862,22.65771800011862,123.0,0.0035609177697951593,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/142749,2,0,26,26.236500500090187,25.90320600029372,26.569794999886653,129.0,0.007121835539590319,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/143861,1,0,31.471972999497666,31.471972999497666,31.471972999497666,31.471972999497666,124.0,0.0035609177697951593,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/144087,5,0,29,30.683393599974806,20.30252999975346,47.58966400004283,118.0,0.017804588848975796,0.0,29,31,31,48,48,48,48,48,48,48,48
GET,/products/144109,1,0,23.76163499957329,23.76163499957329,23.76163499957329,23.76163499957329,127.0,0.0035609177697951593,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/145206,3,0,28.92250199965929,28.36151100018469,27.392355000301905,28.92250199965929,127.0,0.010682753309385477,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/145603,2,0,24,26.450263500464644,23.602722000759968,29.29780500016932,118.0,0.007121835539590319,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/146553,2,0,32,31.919876499614475,31.7908669994722,32.04888599975675,123.0,0.007121835539590319,0.0,32,32,32,32,32,32,32,32,32,32,32
