Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/products,1827,0,28,29.797232649152626,17.968188999930135,91.86977199988178,122.96934865900383,6.436961452538603,0.0,28,30,32,32,36,41,51,61,92,92,92
GET,/products/100523,1,0,29.820115999882546,29.820115999882546,29.820115999882546,29.820115999882546,128.0,0.0035232410796598814,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/101490,1,0,29.68913699987752,29.68913699987752,29.68913699987752,29.68913699987752,118.0,0.0035232410796598814,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/102058,1,0,27.939147999859415,27.939147999859415,27.939147999859415,27.939147999859415,119.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/102609,1,0,22.936008000215224,22.936008000215224,22.936008000215224,22.936008000215224,127.0,0.0035232410796598814,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/102650,2,0,28,31.83017050014314,27.539814000192564,36.120527000093716,127.0,0.007046482159319763,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/products/103001,1,0,23.877281999830302,23.877281999830302,23.877281999830302,23.877281999830302,118.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/103374,4,0,25,31.914576749841217,24.711935999675916,50.757770000018354,124.0,0.014092964318639526,0.0,27,27,51,51,51,51,51,51,51,51,51
GET,/products/103721,1,0,47.76520299992626,47.76520299992626,47.76520299992626,47.76520299992626,129.0,0.0035232410796598814,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/products/105908,1,0,27.428792999671714,27.428792999671714,27.428792999671714,27.428792999671714,129.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/108543,1,0,25.091563000387396,25.091563000387396,25.091563000387396,25.091563000387396,126.0,0.0035232410796598814,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/10858,1,0,23.53715800018108,23.53715800018108,23.53715800018108,23.53715800018108,117.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/109171,2,0,22.097865999967325,31.27954749993478,22.097865999967325,40.46122899990223,129.0,0.007046482159319763,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/products/109527,1,0,28.257458000098268,28.257458000098268,28.257458000098268,28.257458000098268,125.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/112367,1,0,26.634938000370312,26.634938000370312,26.634938000370312,26.634938000370312,123.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/112485,2,0,23.436969999693247,27.37789349976083,23.436969999693247,31.318816999828414,118.0,0.007046482159319763,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/116648,1,0,28.083809999770892,28.083809999770892,28.083809999770892,28.083809999770892,119.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/117332,1,0,27.98211299977993,27.98211299977993,27.98211299977993,27.98211299977993,124.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/11867,1,0,25.687141999696905,25.687141999696905,25.687141999696905,25.687141999696905,123.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/120331,3,0,30,29.075417000209807,25.587577000351303,32.13368700016872,118.0,0.010569723238979645,0.0,30,30,32,32,32,32,32,32,32,32,32
GET,/products/120659,2,0,23,24.108253000122204,22.921836000023177,25.29467000022123,129.0,0.007046482159319763,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/120958,1,0,28.97144600001411,28.97144600001411,28.97144600001411,28.97144600001411,118.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/121444,2,0,32.09744299965678,34.383360999754586,32.09744299965678,36.669278999852395,117.0,0.007046482159319763,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/products/123380,2,0,23.169963999862375,25.441971499958527,23.169963999862375,27.713979000054678,128.0,0.007046482159319763,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/12345,3888,0,28,29.327790516203013,17.885321999983717,316.51091899993844,126.0,13.69836131771762,0.0,28,29,31,31,35,40,52,70,97,320,320
GET,/products/123965,2,0,31.00938999978098,31.731512500073222,31.00938999978098,32.453635000365466,119.0,0.007046482159319763,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/products/124734,1,0,24.491615999977512,24.491615999977512,24.491615999977512,24.491615999977512,119.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/128477,1,0,26.69363399991198,26.69363399991198,26.69363399991198,26.69363399991198,124.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/130217,1,0,25.211619999936374,25.211619999936374,25.211619999936374,25.211619999936374,118.0,0.0035232410796598814,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/13052,1,0,30.81750399996963,30.81750399996963,30.81750399996963,30.81750399996963,128.0,0.0035232410796598814,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/131482,1,0,23.743809000279725,23.743809000279725,23.743809000279725,23.743809000279725,118.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/133348,1,0,27.228871999795956,27.228871999795956,27.228871999795956,27.228871999795956,124.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/133423,8,0,27,28.91942749997156,24.563884999906804,32.96204299999772,118.0,0.02818592863727905,0.0,29,31,33,33,33,33,33,33,33,33,33
GET,/products/134878,4,0,30,30.33320124995953,25.654589999703603,35.925209000197356,118.0,0.014092964318639526,0.0,30,30,36,36,36,36,36,36,36,36,36
GET,/products/134931,1,0,33.39408400006505,33.39408400006505,33.39408400006505,33.39408400006505,129.0,0.0035232410796598814,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/products/135615,1,0,30.91570500009766,30.91570500009766,30.91570500009766,30.91570500009766,127.0,0.0035232410796598814,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/138090,6,0,28,28.956649499946252,24.50711199981015,38.87456499978725,118.0,0.02113944647795929,0.0,28,28,29,29,39,39,39,39,39,39,39
GET,/products/141464,3,0,31,35.634171333337385,23.480242999994516,52.50141299984534,118.0,0.010569723238979645,0.0,31,31,53,53,53,53,53,53,53,53,53
GET,/products/142219,1,0,42.425701999945886,42.425701999945886,42.425701999945886,42.425701999945886,118.0,0.0035232410796598814,0.0,42,42,42,42,42,42,42,42,42,42,42
